M,p0,TAU,quantpred
19F13406742191878D9F64E,1,2,0.75
19F63393374551115D6E165,1,5,0.45
1A0833654493602999ECEFA,0,5,0.45
1A123672425267168252D20,1,1,0.85
1A183365575775422A60B3D,0,4,0.55
1A193649740825664643E1A,0,2,0.75
1A1B3365649263665E5BE99,0,5,0.45
1A3B338956184022897D580,1,4,0.55
1A52338720399244345ED50,0,6,0.35
1A6036601937826272FDC22,0,2,0.75
1A6B3423172349093E88049,0,3,0.65
1A713619484832488F92BA5,1,1,0.85
1A7736631448683716001AC,0,2,0.75
1A813397520396138AD7D24,1,3,0.65
1AAA3641538490523224337,1,1,0.85
1ACB34310804195849F40D1,0,4,0.55
1AD63650222072973B74FE7,0,2,0.75
1AE43403393818438706837,0,3,0.65
1AEE33741830407791A3093,1,4,0.55
1AEE36208357013554EFC9B,0,1,0.85
1AF63386516678006601CFB,0,3,0.65
1B0D338682654094376DAAE,1,5,0.45
1B143387295666389F5E105,0,4,0.55
1B193423157543357D0A38F,0,4,0.55
1B2C34168690846791DCD02,1,3,0.65
1B313422123629530329D64,1,3,0.65
1B553374670269034C33DC6,0,3,0.65
1B5B3426094799489307879,0,3,0.65
1B853622091934847C8BAC8,1,2,0.75
1B9334107892575421E8287,1,4,0.55
1B983401340710402896B71,1,3,0.65
1BA03381371956555685A01,0,5,0.45
1BD83663880776083266192,1,2,0.75
1BF33402875192932A2C0DF,1,2,0.75
1C003403487160869C316D3,1,6,0.35
1C1B36418607362364AFCD7,1,2,0.75
1C3A3433519694437B9D3BC,1,0,0.95
1C3D342001129465828F340,1,3,0.65
1C423421167072601044E03,0,4,0.55
1C4C342986887438517FFB9,0,4,0.55
1C6D3379733867236EA3B1A,0,4,0.55
1C733388023067146A1006A,0,5,0.45
1C783412821385590FE339A,1,4,0.55
1CB03650389619467E37573,1,1,0.85
1CBF34197577762968B01FB,1,5,0.45
1CC0366025792187485A370,1,1,0.85
1CCA3425964636645293ECF,0,4,0.55
1CCE3428902198282286467,1,2,0.75
1CDA3583583470382432E7C,1,4,0.55
1CE13391356717988A54A78,1,2,0.75
1CED342840499556980ED9F,0,3,0.65
1CEF3619835231397E3800A,1,3,0.65
1CF8365786776819283F2AD,1,2,0.75
1D043660408143767E4BCFA,1,1,0.85
1D0C336772273636233FDF6,1,4,0.55
1D2533872445449393E7446,1,4,0.55
1D2D3423336972476CBA088,0,4,0.55
1D3333849756056494FE0F5,1,4,0.55
1D423411222508769802A2A,0,5,0.45
1D4B3566577331852C40C21,1,4,0.55
1D503415320794332E0294E,0,4,0.55
1D5F36471840603436B12D7,1,1,0.85
1D71339229635349923C50B,0,5,0.45
1D7B338463638791884BE94,1,3,0.65
1D803364961530951117C8D,1,7,0.25
1D8133726380708069B9A75,0,4,0.55
1D8F3420314845077DAAAAB,1,3,0.65
1D903421226805898296E5A,1,2,0.75
1D9D337802822358027976B,0,4,0.55
1DDC3424843958040841329,1,3,0.65
1DE636397713965783FF44F,1,1,0.85
1DF93401520240686E86F0E,1,3,0.65
1E0E336557881469735BAAE,1,4,0.55
1E133386344011769F45688,0,3,0.65
1E1B34087194776010DADF3,1,2,0.75
1E203608925628561D9D12A,1,3,0.65
1E2134193487463877E2445,0,6,0.35
1E2F3665417585337253955,0,1,0.85
1E64342213462442992B4BF,1,4,0.55
1E743384994146398C25D5D,1,4,0.55
1E7B3410108817916FAC2FE,1,5,0.45
1E8034208115926758133EB,0,3,0.65
1E9C34302430886160051C4,1,3,0.65
1EF43371564966830A423C1,0,6,0.35
1F093607540512342BB5916,1,1,0.85
1F44362757853305955DB4B,1,2,0.75
1F483385221469059150108,0,4,0.55
1F483420490644718836AFA,1,3,0.65
1F4C33751335572763B1FA8,1,5,0.45
1F643393492516464CFBC41,1,4,0.55
1FBD341571074235620DD19,1,4,0.55
1FC43421774269937159D64,1,4,0.55
1FC7339877809424818E069,0,4,0.55
1FD53392074378856CE5712,1,5,0.45
1FE136311507350968B589F,1,1,0.85
1FED3421893295002A5C1F2,1,3,0.65
1FF1341684802029159BFD3,1,3,0.65
1FFC33976492737514F0ED0,0,2,0.75
200234179945960736C9241,0,4,0.55
2005358027094201690ECDC,1,4,0.55
201934110091408739B4C04,1,6,0.35
203A339558118257528F33B,0,4,0.55
20423628771966638DB244A,1,1,0.85
204B339731123726147EF6D,0,3,0.65
205434280224056789A49D6,1,3,0.65
205D3653442278132CBE9BC,1,1,0.85
206434161367097205BF3CE,0,4,0.55
2072340587041216659F38E,1,3,0.65
207A3404074857784436EAE,0,5,0.45
20913395710534985D7104D,0,5,0.45
20A7363365509157040A911,1,2,0.75
20AB3390539417387923076,0,4,0.55
20AD341970198113429D7E2,0,3,0.65
20D3361979861237465B986,1,1,0.85
20D83625385455646D0F5DD,1,4,0.55
20DA3399308372566DC8F0F,1,3,0.65
20F93381453675358B176D9,1,7,0.25
21013378113463254258456,1,6,0.35
210233773740667227DE0AF,1,4,0.55
21123391077348417E3662D,0,3,0.65
211B3391591343168961F31,0,5,0.45
211E365218173126429483E,1,1,0.85
21203390320835597AE6DA2,0,3,0.65
21283668184792946069E7F,1,1,0.85
212E36341754670532831B9,1,3,0.65
2137339506341816649CC4B,1,3,0.65
21533620203179525BFE3CF,1,4,0.55
215F3375235597507A894E4,0,4,0.55
216334104397255067AA920,0,4,0.55
216633694560032097C1953,1,5,0.45
217633976784459083F7797,1,5,0.45
21963399975538041B8FCC0,1,4,0.55
21C33406945980737038DB7,1,3,0.65
21D33379790812362854C63,0,6,0.35
21D536145935307282AF037,1,1,0.85
21E936437425289280987BC,0,2,0.75
220E337635360313896BEB9,0,3,0.65
2215362058065660642AAB3,0,2,0.75
221836057941345807E5615,1,2,0.75
221D358979790876613184E,1,3,0.65
224D33951727149612F2D5A,1,3,0.65
2266361664551585491BBCD,0,2,0.75
2268339715704201621184E,0,4,0.55
227D366536951186009AD5A,1,2,0.75
22813426080569364EAEE94,0,2,0.75
22A83626239274559633E09,0,2,0.75
22B133994609820197EB89C,1,3,0.65
22C73663056256134922909,1,5,0.45
22D03411090224358BFDD29,1,3,0.65
22F43431626105513FAA449,1,1,0.85
22FC341660717749664C3E4,1,3,0.65
231E36200676921246A90CF,1,2,0.75
232B3389502151316BBCEE4,1,4,0.55
234D35764517580530E511E,1,4,0.55
23633642273007788235BDB,1,2,0.75
23753424074495780E52823,0,3,0.65
23793368604950653AE5258,0,4,0.55
237A3391356194758866037,0,5,0.45
238E34223337712595B6DE6,0,3,0.65
239B36345523590830860C9,1,0,0.95
23DA3624795119322357553,0,3,0.65
23DC3379904627130AB389C,0,3,0.65
23EF338007722706852B1DE,1,6,0.35
23F83656386445685C86954,1,2,0.75
23FB3589408461038B34C2F,0,2,0.75
2412342796932683421503A,1,4,0.55
241B3366148739324B06789,1,5,0.45
241B3418174276973C403A2,0,3,0.65
243A3399842045418D7C4BF,1,4,0.55
2446339166964008146B3AE,1,3,0.65
245C3420725392955161053,0,3,0.65
245D36597864596457129CE,1,3,0.65
24633575006003196640ED9,0,3,0.65
2467358723737010049F5E7,1,3,0.65
24863589817789029844456,0,2,0.75
248733909396752433E7961,0,3,0.65
248D33907483983298B711E,0,4,0.55
248E338021101587882678E,1,4,0.55
24B63424837059424CDB4E5,1,2,0.75
24CB338216821960346E351,0,4,0.55
24EF3569453615768B0B373,0,2,0.75
25023634508991239D5DEC5,1,1,0.85
250C337521126503489EAB2,0,4,0.55
251136382518386586AA64D,1,2,0.75
252136980465203785EB9F4,1,2,0.75
253C3379497435124068764,1,4,0.55
2540363851690809697C2CE,1,3,0.65
25453393442087340FC4604,1,4,0.55
25493415615976306F1B093,0,4,0.55
254D3397266024652B24441,1,5,0.45
254D34051370602558D19EA,1,6,0.35
255E3415021560109298533,1,4,0.55
2563339948067502283955A,0,3,0.65
25633618641649765706BA5,1,2,0.75
256C3602898014562FC78DD,1,1,0.85
25753373238217276AC35A8,1,5,0.45
25A8336606477225967FCCB,1,4,0.55
25B134160085929005EBFFC,0,4,0.55
25B735752959988789BCCE1,0,4,0.55
25BE3430277682171B25B45,1,3,0.65
25D53431234111758D4A17B,1,3,0.65
25DD3638923290054333B90,1,1,0.85
25EC35890425870631DA180,1,4,0.55
25EF3603420903728E97463,1,2,0.75
26133379025727629416A07,1,4,0.55
26133644421767314359224,1,2,0.75
26253659711036579D3C400,1,4,0.55
2627340159962943305AD88,0,6,0.35
263A363613654951591713D,1,1,0.85
26643641255575267987660,1,1,0.85
26723413116512097756793,0,3,0.65
268134263971786279EE49B,1,1,0.85
26843605591531630C60DBF,1,1,0.85
2684366164324930768668C,1,0,0.95
268A3391074970590810DB6,1,4,0.55
26B43411639872090EB0635,1,3,0.65
26CD3410873187469FEB5C6,0,4,0.55
26D133867847774615293D0,0,4,0.55
26D734150649085474B9CC7,1,4,0.55
26E43373176798703B42E84,1,5,0.45
27453611974374215321762,1,2,0.75
274E3576397252311DD9A7C,0,4,0.55
27823364936380618722038,0,5,0.45
278833975452615238365FD,1,5,0.45
2797365029047643297DF08,1,1,0.85
279F358046467138593566D,1,2,0.75
27A03397663439152D72C11,0,5,0.45
27A5362791167899956F48D,1,1,0.85
27B3341967924364095A487,1,2,0.75
27BA3648953075785FC4073,1,1,0.85
27BF358075926619660A68E,1,3,0.65
27C23433819360736FAA14A,1,3,0.65
27D834035476479238E5BA3,1,4,0.55
27F034212380111398B8F94,1,3,0.65
27FB338033410696109E4F8,0,6,0.35
28263420193699952B667A0,1,3,0.65
2828364551919136350D06D,0,3,0.65
